         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)
0  Nominal value	-55.3 N Nominal value	-77.02 N Nominal value	-68.43999 N Nominal value	-56.14 N Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
2.420	0.005	0.006	-0.635	-0.643
2.440	0.008	0.000	-0.488	-0.496
2.460	0.006	0.003	-0.313	-0.321
2.480	0.005	0.006	-0.132	-0.147
2.500	0.008	0.002	0.016	-0.015
2.520	0.004	0.004	0.089	0.016
2.540	0.001	0.010	0.067	-0.051
2.560	0.006	0.006	-0.052	-0.183
2.580	0.006	-0.001	-0.256	-0.361
2.600	0.003	0.003	-0.495	-0.551
2.620	0.004	0.002	-0.689	-0.689
2.640	0.006	-0.001	-0.780	-0.745
2.660	0.002	0.004	-0.741	-0.725
2.680	0.002	0.007	-0.565	-0.596
2.700	0.007	0.004	-0.299	-0.375
2.720	0.007	0.001	-0.030	-0.151
2.740	0.004	0.005	0.179	0.031
2.760	0.005	0.003	0.283	0.141
2.780	0.006	0.001	0.253	0.120
2.800	0.002	0.007	0.098	-0.032
2.820	0.002	0.007	-0.123	-0.225
2.840	0.006	0.001	-0.348	-0.394
2.860	0.006	0.001	-0.525	-0.524
2.880	0.003	0.003	-0.597	-0.568
2.900	0.004	0.000	-0.545	-0.508
2.920	0.005	0.001	-0.395	-0.403
2.940	0.001	0.008	-0.198	-0.284
2.960	0.003	0.006	-0.006	-0.135
2.980	0.007	0.001	0.124	-0.004
3.000	0.006	0.004	0.153	0.040
3.020	0.003	0.004	0.089	0.000
3.040	0.005	0.000	-0.046	-0.123
3.060	0.004	0.003	-0.221	-0.314
3.080	0.001	0.007	-0.388	-0.482
3.100	0.003	0.004	-0.501	-0.555
3.120	0.007	0.001	-0.541	-0.555
3.140	0.005	0.005	-0.498	-0.500
3.160	0.003	0.002	-0.381	-0.399
3.180	0.005	0.000	-0.237	-0.292
3.200	0.004	0.005	-0.111	-0.205
3.220	0.001	0.008	-0.030	-0.128
3.240	0.005	0.005	-0.016	-0.072
3.260	0.008	0.004	-0.068	-0.075
3.280	0.004	0.006	-0.156	-0.131
3.300	0.003	0.001	-0.256	-0.227
3.320	0.006	0.000	-0.368	-0.375
3.340	0.002	0.005	-0.482	-0.527
3.360	-0.001	0.005	-0.571	-0.610
3.380	0.005	0.003	-0.621	-0.618
3.400	0.007	0.005	-0.614	-0.572
3.420	0.003	0.004	-0.535	-0.483
3.440	0.005	0.000	-0.409	-0.404
3.460	0.007	0.001	-0.285	-0.366
3.480	0.002	0.006	-0.191	-0.324
3.500	0.000	0.006	-0.138	-0.248
3.520	0.007	0.005	-0.129	-0.174
3.540	0.006	0.007	-0.136	-0.124
3.560	0.003	0.003	-0.138	-0.119
3.580	0.007	-0.001	-0.154	-0.197
3.600	0.007	0.001	-0.212	-0.342
3.620	-0.001	0.005	-0.317	-0.481
3.640	-0.001	0.005	-0.451	-0.575
3.660	0.005	0.006	-0.576	-0.618
3.680	0.003	0.006	-0.635	-0.595
3.700	0.004	0.000	-0.588	-0.516
3.720	0.010	-0.003	-0.447	-0.422
3.740	0.006	0.001	-0.253	-0.312
3.760	-0.002	0.004	-0.056	-0.165
3.780	0.001	0.006	0.091	-0.019
3.800	0.005	0.008	0.149	0.067
3.820	0.002	0.006	0.116	0.068
3.840	0.005	-0.001	0.004	-0.037
3.860	0.010	-0.003	-0.160	-0.215
3.880	0.003	0.001	-0.335	-0.387
3.900	-0.004	0.003	-0.476	-0.502
3.920	0.002	0.005	-0.551	-0.562
3.940	0.003	0.007	-0.540	-0.559
3.960	0.001	0.003	-0.437	-0.469
3.980	0.007	-0.001	-0.271	-0.322
4.000	0.010	-0.001	-0.083	-0.155
4.020	0.000	0.002	0.082	-0.007
4.040	-0.002	0.005	0.171	0.044
4.060	0.004	0.007	0.156	-0.011
4.080	0.001	0.007	0.038	-0.123
4.100	0.001	0.002	-0.158	-0.264
4.120	0.008	-0.002	-0.380	-0.412
4.140	0.007	-0.003	-0.559	-0.531
4.160	-0.002	0.000	-0.640	-0.589
4.180	0.000	0.004	-0.598	-0.575
4.200	0.005	0.006	-0.444	-0.464
4.220	0.001	0.007	-0.228	-0.278
4.240	0.003	0.003	-0.030	-0.104
4.260	0.010	0.000	0.089	-0.002
4.280	0.003	0.000	0.100	0.016
