         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)
0  Nominal value	-55.3 N Nominal value	-77.02 N Nominal value	-68.43999 N Nominal value	-56.14 N Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
9.040	0.025	0.007	0.734	0.907
9.060	0.018	0.003	0.897	0.947
9.080	0.013	-0.002	1.119	1.082
9.100	0.017	-0.004	1.349	1.343
9.120	0.026	0.002	1.554	1.663
9.140	0.032	0.011	1.708	1.888
9.160	0.031	0.012	1.770	1.876
9.180	0.023	0.006	1.682	1.625
9.200	0.014	0.002	1.424	1.256
9.220	0.009	-0.003	1.045	0.940
9.240	0.014	-0.004	0.678	0.796
9.260	0.025	0.003	0.443	0.761
9.280	0.033	0.009	0.425	0.767
9.300	0.031	0.006	0.651	0.849
9.320	0.023	0.003	1.037	1.059
9.340	0.016	0.002	1.471	1.408
9.360	0.012	0.000	1.839	1.828
9.380	0.020	0.000	2.076	2.168
9.400	0.030	0.008	2.125	2.227
9.420	0.035	0.012	1.953	1.951
9.440	0.028	0.006	1.580	1.478
9.460	0.018	0.002	1.068	0.995
9.480	0.010	0.001	0.534	0.612
9.500	0.008	-0.003	0.122	0.371
9.520	0.018	-0.003	-0.046	0.296
9.540	0.031	0.005	0.083	0.387
9.560	0.035	0.010	0.470	0.653
9.580	0.028	0.006	1.012	1.094
9.600	0.019	0.006	1.565	1.619
9.620	0.013	0.007	1.980	2.037
9.640	0.014	0.001	2.146	2.178
9.660	0.024	0.001	2.013	2.009
9.680	0.034	0.009	1.604	1.607
9.700	0.033	0.010	1.026	1.107
9.720	0.024	0.004	0.441	0.657
9.740	0.015	0.003	0.020	0.360
9.760	0.010	0.001	-0.123	0.262
9.780	0.015	-0.003	0.039	0.366
9.800	0.025	0.000	0.442	0.644
9.820	0.034	0.009	0.955	1.035
9.840	0.030	0.012	1.426	1.433
9.860	0.022	0.008	1.727	1.707
9.880	0.014	0.006	1.788	1.760
9.900	0.011	0.003	1.630	1.618
9.920	0.019	-0.003	1.320	1.371
9.940	0.030	0.000	0.957	1.110
9.960	0.036	0.008	0.644	0.899
9.980	0.029	0.006	0.461	0.749
10.000	0.019	0.002	0.443	0.678
10.020	0.010	0.002	0.574	0.716
10.040	0.009	0.001	0.809	0.879
10.060	0.019	-0.001	1.074	1.139
10.080	0.030	0.005	1.321	1.434
10.100	0.034	0.011	1.511	1.669
10.120	0.028	0.007	1.604	1.741
10.140	0.018	0.002	1.580	1.645
10.160	0.010	0.001	1.438	1.442
10.180	0.011	-0.001	1.200	1.200
10.200	0.022	-0.002	0.925	1.000
10.220	0.032	0.003	0.704	0.900
10.240	0.033	0.008	0.619	0.909
10.260	0.028	0.003	0.725	1.018
10.280	0.018	-0.002	1.001	1.202
10.300	0.011	0.001	1.346	1.407
10.320	0.014	0.001	1.648	1.605
10.340	0.024	0.002	1.804	1.751
10.360	0.031	0.008	1.775	1.794
10.380	0.031	0.011	1.590	1.704
10.400	0.024	0.003	1.313	1.485
10.420	0.015	-0.002	1.014	1.188
10.440	0.011	-0.001	0.766	0.913
10.460	0.016	-0.003	0.598	0.735
10.480	0.026	-0.001	0.534	0.715
10.500	0.031	0.006	0.591	0.847
10.520	0.030	0.007	0.768	1.052
10.540	0.023	0.002	1.036	1.268
10.560	0.015	0.000	1.334	1.469
10.580	0.013	0.001	1.578	1.643
10.600	0.020	0.002	1.709	1.770
10.620	0.028	0.004	1.687	1.792
10.640	0.030	0.009	1.504	1.641
10.660	0.025	0.009	1.191	1.317
10.680	0.017	0.000	0.812	0.912
10.700	0.009	-0.003	0.467	0.588
10.720	0.011	-0.002	0.263	0.467
10.740	0.021	-0.003	0.270	0.582
10.760	0.031	0.002	0.507	0.870
10.780	0.032	0.009	0.924	1.221
10.800	0.028	0.006	1.404	1.536
10.820	0.019	0.001	1.791	1.751
10.840	0.011	0.001	1.946	1.821
10.860	0.014	0.001	1.805	1.714
10.880	0.021	0.001	1.432	1.467
10.900	0.028	0.004	0.972	1.163
10.920	0.029	0.007	0.592	0.894
10.940	0.025	0.003	0.414	0.743
10.960	0.016	-0.004	0.484	0.762
10.980	0.010	-0.003	0.761	0.937
11.000	0.014	0.001	1.133	1.195
11.020	0.022	0.002	1.461	1.451
11.040	0.028	0.007	1.640	1.627
11.060	0.029	0.011	1.642	1.682
11.080	0.025	0.004	1.514	1.633
11.100	0.017	-0.004	1.328	1.527
11.120	0.015	-0.002	1.150	1.389
11.140	0.019	-0.001	1.023	1.239
11.160	0.025	0.001	0.954	1.101
11.180	0.027	0.007	0.934	1.023
